system:index,B11,B12,B2,B3,B4,B8,NDVI_2024,landcover,.geo
1_0_0,1839.5,792.0,304.0,528.0,234.0,3426.0,0.87213117,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0,2028.5,862.5,284.0,551.0,274.0,4296.0,0.88008755,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,2093.0,883.0,308.5,669.0,297.0,4506.0,0.8763273,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_0,2109.0,992.5,453.0,671.0,402.5,4426.0,0.8332816,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_0,2082.0,927.5,300.5,564.5,277.0,3910.0,0.8676857,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_0,2050.5,885.5,288.0,536.0,248.5,4122.0,0.88628304,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_0,2332.5,1054.5,281.0,654.0,245.0,4910.0,0.9049466,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_0,1927.0,894.5,281.5,523.0,302.5,3556.0,0.8432033,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_0,1914.5,839.0,294.0,599.0,316.0,4022.0,0.85431075,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_0,2040.0,854.0,306.0,596.0,255.0,4598.0,0.89491034,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_0,2041.0,985.5,303.5,623.0,376.5,3478.0,0.8046439,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_0,2334.0,1012.0,321.5,669.5,321.5,5308.0,0.8857803,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_0,2140.0,974.5,282.0,577.0,321.5,4010.0,0.8515526,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_0,2197.5,985.0,321.5,660.0,311.0,4348.0,0.86649495,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_0,1989.5,1081.0,326.0,518.0,337.5,3464.0,0.82243854,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_0,2216.0,1027.0,313.0,578.0,335.0,3702.0,0.83403516,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_0,2384.5,1050.5,298.0,537.5,264.5,4478.0,0.88845545,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17_0,2710.5,1263.5,326.0,681.5,319.0,5026.0,0.8806361,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18_0,1778.5,823.5,365.0,728.0,420.5,3562.0,0.7888261,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19_0,1815.5,788.0,332.0,613.5,367.5,3594.0,0.8144642,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20_0,2138.5,914.0,322.5,579.0,320.0,3740.0,0.84236455,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21_0,2106.5,922.0,270.0,575.0,254.5,4476.0,0.8924004,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22_0,2321.0,1043.5,256.5,564.0,289.0,4326.0,0.8747562,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23_0,2142.0,977.0,330.5,636.5,375.5,4156.0,0.8342712,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24_0,2173.0,948.5,278.5,535.5,268.5,4470.0,0.886673,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25_0,2203.5,919.0,402.5,670.0,364.0,4186.0,0.84,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26_0,2297.5,1019.0,302.0,689.0,283.0,4808.0,0.8888234,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27_0,2155.5,958.0,316.5,602.0,339.0,3852.0,0.83822477,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28_0,1820.0,802.5,280.5,537.0,310.5,3364.0,0.8309974,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29_0,2133.5,938.5,281.0,637.0,283.0,4172.0,0.87295175,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30_0,2029.5,882.5,244.5,630.5,232.0,4312.0,0.89788735,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31_0,2091.5,907.0,325.0,637.5,343.0,4062.0,0.8442679,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32_0,1896.0,786.5,266.0,548.0,273.5,4126.0,0.8756677,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33_0,1919.0,941.0,260.0,502.0,294.0,3156.0,0.8295652,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34_0,1861.5,899.5,315.5,570.5,360.0,3424.0,0.80972517,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35_0,1879.5,794.0,282.5,591.0,267.0,3872.0,0.8709833,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36_0,884.0,391.0,219.0,489.0,274.0,2664.0,0.8134785,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37_0,1529.0,693.0,217.5,471.5,256.0,3262.0,0.85446274,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38_0,1761.0,824.0,291.0,684.0,307.5,3740.0,0.84805435,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39_0,1452.5,598.0,199.5,442.0,220.0,3806.0,0.89071035,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40_0,1654.0,709.0,171.5,406.0,178.5,3550.0,0.90425104,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_41_0,2016.0,902.0,245.0,677.0,253.5,4312.0,0.88894975,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_42_0,1843.5,833.0,225.0,558.0,218.0,3528.0,0.8836092,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_43_0,2018.5,849.0,218.5,564.0,235.5,4424.0,0.8989162,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_44_0,1900.5,845.5,203.0,487.5,214.0,3986.0,0.89809525,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_45_0,1534.0,706.0,220.0,470.5,213.5,3654.0,0.88959277,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_46_0,1285.5,599.5,154.0,333.5,170.0,2843.0,0.88715565,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_47_0,1546.5,641.0,213.5,415.5,210.5,3778.0,0.89444655,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_48_0,1496.5,669.0,234.5,407.5,229.5,2851.0,0.8509982,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_49_0,1767.5,747.0,245.5,481.5,236.0,4032.0,0.88940954,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_50_0,1671.5,777.0,290.5,536.5,289.0,3728.0,0.8561115,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_51_0,1331.0,526.5,224.0,465.0,232.5,3850.0,0.8860992,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_52_0,2115.0,934.5,321.5,620.0,336.5,4098.0,0.8482354,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_53_0,2064.0,898.0,348.0,706.5,360.5,4074.0,0.8374112,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_54_0,2496.0,1179.0,333.0,709.0,334.0,4704.0,0.8674077,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_55_0,2095.5,932.5,308.5,578.0,236.5,4302.0,0.89578056,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_56_0,1891.5,801.5,286.5,562.5,253.5,3992.0,0.8805794,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_57_0,2607.0,1198.0,271.5,673.0,286.5,4608.0,0.8829298,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_58_0,1846.5,751.0,265.0,535.0,254.0,3864.0,0.8766391,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_59_0,1817.5,758.0,328.5,634.5,332.0,3864.0,0.8417541,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_60_0,2545.5,1243.5,333.5,672.5,279.0,4394.0,0.8805906,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_61_0,2204.0,1051.0,362.0,650.0,385.0,3764.0,0.81441313,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
